Step	Loss	Loss per Cell	 Change 
310	3380958720.0	444220.03941663384	3068.3337274996447
311	3358306304.0	441243.7661279727	2976.2732886611484
312	3335570432.0	438256.52765733807	2987.23847063462
313	3313346560.0	435336.56024175533	2919.967415582738
314	3291206656.0	432427.62527920114	2908.9349625541945
315	3268847104.0	429489.8310340297	2937.794245171419
316	3246684672.0	426577.9361450532	2911.8948889765306
317	3225020160.0	423731.4623571147	2846.4737879384775
318	3204026624.0	420973.1472868217	2758.315070293029
319	3183288320.0	418248.3668374721	2724.780449349608
320	3162606848.0	415531.0534752332	2717.3133622388705
321	3142569984.0	412898.4343713047	2632.619103928504
322	3123027456.0	410330.76547102875	2567.668900275952
323	3103601152.0	407778.3671002496	2552.3983707791194
324	3083421184.0	405126.94573643414	2651.4213638154906
325	3062891264.0	402429.5446064906	2697.4011299435515
326	3043342848.0	399861.1020890816	2568.4425174089847
327	3024004608.0	397320.27433977136	2540.827749310236
328	3004408064.0	394745.5083431875	2574.765996583854
329	2985437440.0	392252.98121140455	2492.527131782961
330	2966268160.0	389734.3529102615	2518.628301143064
331	2948030976.0	387338.1915648404	2396.1613454211038
332	2929561344.0	384911.4891604257	2426.702404414653
333	2911736064.0	382569.44737879385	2342.0417816318804
334	2894748416.0	380337.4610432269	2231.986335566966
335	2877811712.0	378112.1681776376	2225.292865589261
336	2860857856.0	375884.6217317041	2227.54644593352
337	2844099328.0	373682.7391932729	2201.8825384312076
338	2827581440.0	371512.4740507161	2170.2651425568038
339	2810879232.0	369317.99132834055	2194.482722375542
340	2794426880.0	367156.33688083035	2161.654447510198
341	2778643456.0	365082.5720667455	2073.7648140848614
342	2763020544.0	363029.8967284194	2052.6753383260802
343	2747464960.0	360986.0675338326	2043.8291945867823
344	2732332544.0	358997.83786624623	1988.2296675863909
345	2717581824.0	357059.758770201	1938.0790960452287
346	2702560000.0	355086.05965050583	1973.6991196951712
347	2688023040.0	353176.0662199448	1909.9934305610368
348	2673827072.0	351310.87531204836	1865.1909078964381
349	2659585280.0	349439.66364472476	1871.2116673236014
350	2645639680.0	347607.3682827487	1832.295361976081
351	2632178176.0	345838.6777033241	1768.690579424554
352	2618715904.0	344069.886217317	1768.7914860071032
353	2605424128.0	342323.49599264225	1746.3902246747748
354	2592098048.0	340572.59860727895	1750.8973853632924
355	2578952448.0	338845.4142688214	1727.1843384575332
356	2565759744.0	337112.04099329916	1733.373275522259
357	2551887104.0	335289.331756668	1822.70923663117
358	2538696960.0	333556.294836421	1733.0369202470174
359	2525577472.0	331832.5413217711	1723.7535146498703
360	2512680192.0	330137.9834450138	1694.5578767572879
361	2500225280.0	328501.5477598213	1636.4356851925259
362	2488169216.0	326917.51622651424	1584.0315333070466
363	2476427008.0	325374.721849954	1542.794376560254
364	2464688384.0	323832.3983707791	1542.3234791748691
365	2453075712.0	322306.62357114704	1525.7747996320832
366	2441535744.0	320790.40126133227	1516.222309814766
367	2429716736.0	319237.51622651424	1552.8850348180276
368	2418295040.0	317736.8335304165	1500.6826960977633
369	2407343104.0	316297.8720273289	1438.9615030876012
370	2396353024.0	314853.89883063984	1443.9731966890395
371	2385202944.0	313388.90342924715	1464.9954013926908
372	2373980672.0	311914.4228090921	1474.4806201550527
373	2362956032.0	310465.9088161871	1448.5139929049765
374	2351985152.0	309024.45828406257	1441.4505321245524
375	2341554944.0	307654.0459860728	1370.4122979897656
376	2331208192.0	306294.5988700565	1359.4471160162939
377	2321074432.0	304963.1365129418	1331.4623571147094
378	2310934784.0	303630.900538694	1332.2359742478002
379	2300936960.0	302317.29864669556	1313.6018919984344
380	2291070976.0	301021.019051373	1296.2795953225577
381	2281267712.0	299732.98016029433	1288.0388910786714
382	2271615232.0	298464.7525949284	1268.22756536596
383	2262185216.0	297225.75430298253	1238.9982919458416
384	2252919808.0	296008.38365523587	1217.3706477466621
385	2243639808.0	294789.0957824202	1219.2878728156793
386	2234556416.0	293595.63999474444	1193.4557876757463
387	2225313792.0	292381.2629089476	1214.3770857968484
388	2216190976.0	291182.62725003285	1198.6356589147472
389	2207194624.0	290000.60754171596	1182.0197083168896
390	2198317056.0	288834.1947181711	1166.4128235448734
391	2189795072.0	287714.50164235977	1119.6930758113158
